name,x,y
AINSA-COSCOJUELA-DE-SOBRARBE,0.1858667,42.3486833
AMPURIABRAVA,3.1097150,42.2602830
ANDORRA-LA-SEU-D’URGELL,1.4105556,42.3408333
BAGNERES-DE-LUCHON,0.6009861,42.8005556
BENABARRE,0.4822222,42.0227778
CALAF-SALLAVINERA,1.5572222,41.7447222
CASTELNAU-MAGNOAC,0.5194500,43.2775100
GIRONA,2.7619444,41.9044444
HUESCA-PIRINEOS,-0.3172222,42.0761111
ITXASSOU,-1.4233333,43.3363889
LA-CERDANYA,1.8627778,42.3869444
LA-LLAGONNE-LA-QUILLANE,2.1200100,42.5433400
LUMBIER,-1.3041667,42.6647222
MANRESA,1.8619444,41.7652778
OLORON-HERRERE,-0.5610856,43.1638967
PAMIERS-LES-PUJOLS,1.6980556,43.0906389
PAMPLONA,-1.6468230,42.7709540
PERPIGNAN-RIVESALTES,2.8694444,42.7450000
PUIVERT,2.0548967,42.9102800
SAINT-GAUDENS-MONTREJEAU,0.6191700,43.1075100
SAINT-GIRONS-ANTICHAN,1.1031667,43.0077778
SAINTE-LEOCADIE,2.0063889,42.4461111
SAN-SEBASTIÁN,-1.7908333,43.3563889
SANTA-CILIA-DE-JACA,-0.7282160,42.5692160
TARBES-LALOUBERE,0.0775100,43.2150100
TARBES-LOURDES-PYRENEES,-0.0027800,43.1855600
